Glycrl. % by weight,Refracv. Indx,Difference for 1%
100,1.47399,0.00165
99,1.47234,0.00163
98,1.47071,0.00161
97,1.46909,0.00157
96,1.46752,0.00156
95,1.46597,0.00154
94,1.46443,0.00153
93,1.46290,0.00151
92,1.46139,0.00150
91,1.45989,0.00150
90,1.45839,0.00150
89,1.45689,0.00150
88,1.45539,0.00150
87,1.45389,0.00152
86,1.45237,0.00152
85,1.45085,0.00155
84,1.44930,0.00156
83,1.44770,0.00160
82,1.44612,0.00162
81,1.44450,0.00160
80,1.44290,0.00155
79,1.44135,0.00153
78,1.43982,0.00150
77,1.43832,0.00149
76,1.43683,0.00149
75,1.43534,0.00149
74,1.43385,0.00149
73,1.43236,0.00149
72,1.43087,0.00149
71,1.42938,0.00149
70,1.42789,0.00149
69,1.42640,0.00149
68,1.42491,0.00149
67,1.42342,0.00149
66,1.42193,0.00149
65,1.42044,0.00149
64,1.41895,0.00149
63,1.41746,0.00149
62,1.41597,0.00149
61,1.41448,0.00149
60,1.41299,0.00149
59,1.41150,0.00149
58,1.41001,0.00149
57,1.40852,0.00149
56,1.40703,0.00149
55,1.40554,0.00149
54,1.40405,0.00149
53,1.40256,0.00149
52,1.40107,0.00149
51,1.39958,0.00149
50,1.39809,0.00149
49,1.39660,0.00147
48,1.39513,0.00145
47,1.39368,0.00141
46,1.39227,0.00138
45,1.39089,0.00136
44,1.38953,0.00135
43,1.38818,0.00135
42,1.38683,0.00135
41,1.38548,0.00135
40,1.38413,0.00135
39,1.38278,0.00135
38,1.38143,0.00135
37,1.38008,0.00134
36,1.37874,0.00134
35,1.37740,0.00134
34,1.37606,0.00134
33,1.37472,0.00134
32,1.37338,0.00134
31,1.37204,0.00134
30,1.37070,0.00134
29,1.36936,0.00134
28,1.36802,0.00133
27,1.36669,0.00133
26,1.36536,0.00132
25,1.36404,0.00132
24,1.36272,0.00131
23,1.36141,0.00131
22,1.36010,0.00131
21,1.35879,0.00130
20,1.35749,0.00130
19,1.35619,0.00129
18,1.35490,0.00129
17,1.35361,0.00128
16,1.35233,0.00127
15,1.35106,0.00126
14,1.34980,0.00128
13,1.34854,0.00125
12,1.34729,0.00125
11,1.34604,0.00123
10,1.34481,0.00122
9,1.34359,0.00121
8,1.34238,0.00120
7,1.34118,0.00119
6,1.33999,0.00119
5,1.33880,0.00118
4,1.33762,0.00117
3,1.33645,0.00115
2,1.33530,0.00114
1,1.33416,0.00113
0,1.33303,
